iter	RMSE
0	2.184667589
1	2.064809241
2	1.955270813
3	1.848827633
4	1.748482153
5	1.655551717
6	1.567843673
7	1.486728292
8	1.406260986
9	1.333605756
10	1.262569179
11	1.196493133
12	1.134970929
13	1.07675355
14	1.021558741
15	0.969832339
16	0.9229384841
17	0.8782248865
18	0.8350566936
19	0.7943918804
20	0.754862355
21	0.7186852202
22	0.6844822738
23	0.6538939334
24	0.6252436853
25	0.5972859589
26	0.5700709986
27	0.546295028
28	0.524489273
29	0.5021868464
30	0.4821628244
31	0.4635578694
32	0.4463600648
33	0.4289974487
34	0.4141203262
35	0.4006292064
36	0.3879723801
37	0.3752650496
38	0.3642534021
39	0.3546565546
40	0.3455567458
41	0.3364208
42	0.329292158
43	0.3207733128
44	0.3127508352
45	0.3065889492
46	0.2997826078
47	0.2933361923
48	0.2878271931
49	0.2821988659
50	0.2777180518
51	0.2734783532
52	0.2698588808
53	0.2661488294
54	0.2626890887
55	0.259045553
56	0.2559687816
57	0.2530380952
58	0.2497992182
59	0.2476846422
60	0.2453601661
61	0.2431978311
62	0.24067024
63	0.2389429698
64	0.2370930834
65	0.2350659008
66	0.2331657672
67	0.2317270601
68	0.2307097568
69	0.2293742621
70	0.2279420198
71	0.2268244803
72	0.2252022704
73	0.224514528
74	0.2232268727
75	0.2222642316
76	0.2214260778
77	0.2205594282
78	0.2199916588
79	0.2186799562
80	0.2180212734
81	0.2167814653
82	0.2157292213
83	0.214924482
84	0.2142653153
85	0.2138642578
86	0.2135287101
87	0.2131858899
88	0.2126648832
89	0.212135577
90	0.2115960656
91	0.2109529908
92	0.2105097073
93	0.210362439
94	0.2102818818
95	0.2096245676
96	0.2085517877
97	0.2084247101
98	0.2079852574
99	0.2075760829
100	0.2072656445
101	0.2065163497
102	0.2060738874
103	0.205653522
104	0.2049355103
105	0.2044478306
106	0.2039390204
107	0.203739839
108	0.2033891866
109	0.2029369316
110	0.2027898676
111	0.2024058333
112	0.202062005
113	0.2015773664
114	0.2011305207
115	0.2009111566
116	0.2003186863
117	0.1997729373
118	0.1989178858
119	0.1983027014
120	0.1979688928
121	0.1976678943
122	0.1973554764
123	0.1968362171
124	0.1968169603
125	0.196766672
126	0.1964388855
127	0.1956041569
128	0.1952947512
129	0.1950047705
130	0.1949221135
131	0.1946673801
132	0.194098653
133	0.1936745907
134	0.1931001565
135	0.192590681
136	0.1924464071
137	0.1923266128
138	0.1919889748
139	0.1919653959
140	0.191506168
141	0.1913744048
142	0.1907972118
143	0.1902987066
144	0.1899450701
145	0.1896372595
146	0.1895100868
147	0.1892272904
148	0.1888987612
149	0.1885385879
150	0.1882256947
151	0.1877944672
152	0.1877085267
153	0.1876183288
154	0.1874994113
155	0.1873845818
156	0.1869327905
157	0.1865799779
158	0.1863438504
159	0.1860830589
160	0.1857371752
161	0.1852499864
162	0.1849644199
163	0.1845690256
164	0.183985212
165	0.1835994312
166	0.1834997968
167	0.1832342306
168	0.1829737268
169	0.1826500537
170	0.1824517548
171	0.1821236574
172	0.18194203
173	0.1819153364
174	0.1817320331
175	0.1813495278
176	0.1811422914
177	0.1810203877
178	0.1809377634
179	0.1808525011
180	0.1806966313
181	0.1802480226
182	0.1799888495
183	0.1797802588
184	0.1794376015
185	0.1790424761
186	0.1787114723
187	0.1785799221
188	0.1783822277
189	0.1780414465
190	0.1778691121
191	0.1777238315
192	0.1775524507
193	0.1771643317
194	0.1770003224
195	0.1769639744
196	0.1768624164
197	0.1766995448
198	0.1766501247
199	0.1764304152
200	0.1762450352
201	0.1760936157
202	0.1759643171
203	0.1757841173
204	0.1754848342
205	0.1752815338
206	0.1751055771
207	0.1749211
208	0.1747518497
209	0.1746079493
210	0.1744978081
211	0.1743590433
212	0.1742673616
213	0.1740533904
214	0.1737053061
215	0.1736617761
216	0.1736012771
217	0.1734862672
218	0.1732516644
219	0.1731995682
220	0.1731031175
221	0.1728741663
222	0.1727293224
223	0.1725575314
224	0.1721225374
225	0.1717696768
226	0.1717221482
227	0.1712234642
228	0.1710691735
229	0.1710204913
230	0.1708776586
231	0.1705917164
232	0.170361306
233	0.1702531583
234	0.1701386618
235	0.1700654153
236	0.1698424691
237	0.1696702481
238	0.169646367
239	0.1695644984
240	0.1692798687
241	0.169023767
242	0.1688374044
243	0.1686211519
244	0.1685803658
245	0.1684549399
246	0.1681999129
247	0.1681471242
248	0.1680307743
249	0.1680180828
250	0.1677750866
251	0.1676988179
252	0.1675265786
