id,formation_energy_ev_natom,bandgap_energy_ev
1,0.199,1.528
2,0.059,3.709
3,0.159,3.590
4,0.027,2.961
5,0.145,1.555
6,0.073,4.492
7,0.067,3.220
8,0.121,2.124
9,0.057,2.658
10,0.238,3.006
11,0.199,1.818
12,0.095,2.631
13,0.331,0.993
14,0.180,1.806
15,0.063,0.948
16,0.258,3.586
17,0.204,1.713
18,0.209,2.348
19,0.378,1.247
20,0.192,1.435
21,0.087,1.818
22,0.150,2.952
23,0.167,1.790
24,0.174,3.166
25,0.021,2.596
26,0.150,0.967
27,0.255,1.238
28,0.222,1.854
29,0.113,1.181
30,0.230,2.045
31,0.242,1.049
32,0.145,1.930
33,0.121,1.553
34,0.176,1.781
35,0.042,0.938
36,0.212,0.861
37,0.160,3.609
38,0.147,1.460
39,0.245,2.044
40,0.109,3.391
41,0.060,3.944
42,0.155,3.198
43,0.060,3.944
44,0.201,1.319
45,0.299,0.626
46,0.031,3.884
47,0.194,1.879
48,0.262,1.903
49,0.226,3.515
50,0.119,1.212
51,0.142,2.059
52,0.099,1.677
53,0.233,1.654
54,0.258,2.876
55,0.145,2.761
56,0.276,0.488
57,0.206,2.245
58,0.278,2.337
59,0.191,0.927
60,0.150,2.833
61,0.264,0.492
62,0.179,1.743
63,0.326,1.772
64,0.230,3.284
65,0.355,1.115
66,0.065,2.774
67,0.067,3.220
68,0.210,2.211
69,0.229,3.522
70,0.292,1.726
71,0.055,2.574
72,0.106,3.049
73,0.053,2.421
74,0.104,1.932
75,0.258,1.716
76,0.281,2.644
77,0.335,0.998
78,0.246,2.265
79,0.192,2.408
80,0.253,1.250
81,0.109,3.391
82,0.066,3.461
83,0.238,1.034
84,0.073,1.036
85,0.109,3.391
86,0.207,2.866
87,0.064,3.256
88,0.054,2.730
89,0.093,4.297
90,0.333,1.544
91,0.101,4.449
92,0.256,0.661
93,0.214,2.337
94,0.020,2.134
95,0.067,3.220
96,0.331,1.105
97,0.244,2.165
98,0.032,1.446
99,0.065,2.040
100,0.321,1.007
101,0.157,1.491
102,0.031,3.884
103,0.234,2.150
104,0.307,1.437
105,0.229,1.620
106,0.093,4.297
107,0.094,4.032
108,0.218,2.517
109,0.196,2.215
110,0.148,0.865
111,0.323,0.694
112,0.066,3.004
113,0.212,2.383
114,0.359,2.664
115,0.350,2.115
116,0.214,2.711
117,0.215,2.001
118,0.253,2.070
119,0.214,2.337
120,0.194,2.243
121,0.254,2.191
122,0.161,1.825
123,0.042,0.938
124,0.307,0.231
125,0.159,1.193
126,0.110,3.405
127,0.105,2.359
128,0.308,2.683
129,0.366,1.274
130,0.266,1.745
131,0.091,3.347
132,0.308,0.318
133,0.067,3.220
134,0.167,1.222
135,0.149,2.672
136,0.176,0.869
137,0.181,0.867
138,0.253,2.070
139,0.160,1.912
140,0.196,2.150
141,0.141,1.972
142,0.202,3.053
143,0.230,3.284
144,0.059,0.942
145,0.403,1.572
146,0.056,4.203
147,0.165,1.647
148,0.189,1.917
149,0.238,2.159
150,0.117,1.262
151,0.203,1.487
152,0.064,3.663
153,0.097,4.491
154,0.220,3.905
155,0.113,1.181
156,0.028,2.631
157,0.127,2.083
158,0.045,5.267
159,0.101,4.449
160,0.146,1.504
161,0.208,2.023
162,0.392,1.379
163,0.027,3.240
164,0.296,0.467
165,0.328,0.190
166,0.330,0.711
167,0.307,1.259
168,0.108,2.390
169,0.220,1.540
170,0.233,1.584
171,0.161,1.893
172,0.218,3.100
173,0.141,1.610
174,0.285,0.720
175,0.109,3.391
176,0.145,1.930
177,0.392,1.426
178,0.350,0.995
179,0.225,2.847
180,0.178,1.425
181,0.262,1.283
182,0.060,3.944
183,0.230,3.284
184,0.274,1.028
185,0.131,1.716
186,0.361,1.423
187,0.224,3.626
188,0.146,1.504
189,0.270,0.434
190,0.216,1.244
191,0.225,1.809
192,0.031,3.884
193,0.218,2.869
194,0.197,2.084
195,0.330,1.253
196,0.059,0.942
197,0.130,1.353
198,0.227,2.263
199,0.246,2.265
200,0.145,1.363
201,0.123,1.472
202,0.036,1.137
203,0.353,0.914
204,0.192,2.229
205,0.177,1.423
206,0.133,1.113
207,0.106,0.971
208,0.319,1.076
209,0.302,2.200
210,0.211,2.508
211,0.213,2.204
212,0.297,1.081
213,0.249,1.454
214,0.281,0.572
215,0.138,3.215
216,0.080,1.082
217,0.180,1.806
218,0.249,1.063
219,0.258,3.586
220,0.054,2.821
221,0.131,1.800
222,0.203,1.568
223,0.294,2.722
224,0.066,3.461
225,0.039,4.822
226,0.378,1.371
227,0.244,1.804
228,0.384,1.203
229,0.216,1.961
230,0.220,2.355
231,0.170,1.276
232,0.027,2.955
233,0.074,4.138
234,0.230,3.087
235,0.093,4.297
236,0.291,2.376
237,0.019,2.287
238,0.199,2.465
239,0.321,1.007
240,0.078,3.945
241,0.245,1.996
242,0.161,0.867
243,0.107,3.996
244,0.028,5.188
245,0.173,1.612
246,0.202,2.836
247,0.328,0.780
248,0.302,1.330
249,0.205,1.233
250,0.190,2.849
251,0.053,2.421
252,0.109,1.153
253,0.253,1.783
254,0.347,1.101
255,0.340,0.880
256,0.027,3.240
257,0.096,1.098
258,0.161,1.825
259,0.343,0.296
260,0.224,2.365
261,0.106,3.049
262,0.021,1.772
263,0.056,2.757
264,0.349,0.978
265,0.126,1.554
266,0.204,2.804
267,0.359,2.664
268,0.024,3.353
269,0.066,3.461
270,0.197,3.123
271,0.174,2.166
272,0.357,1.132
273,0.286,2.844
274,0.324,0.811
275,0.293,1.709
276,0.150,1.464
277,0.102,0.981
278,0.126,1.762
279,0.159,3.590
280,0.121,2.040
281,0.027,2.961
282,0.064,2.668
283,0.058,4.532
284,0.340,0.880
285,0.165,1.647
286,0.229,0.844
287,0.126,2.752
288,0.044,4.455
289,0.218,2.517
290,0.154,2.970
291,0.219,3.978
292,0.177,1.905
293,0.221,3.758
294,0.359,1.307
295,0.253,2.300
296,0.176,1.375
297,0.223,1.622
298,0.207,2.765
299,0.097,3.201
300,0.156,2.295
301,0.106,3.235
302,0.125,1.351
303,0.105,1.622
304,0.139,2.152
305,0.275,0.921
306,0.042,0.938
307,0.178,1.425
308,0.231,1.626
309,0.206,3.222
310,0.364,1.292
311,0.220,2.355
312,0.380,1.072
313,0.178,1.195
314,0.164,1.853
315,0.278,1.884
316,0.307,1.259
317,0.239,0.935
318,0.041,4.783
319,0.249,0.831
320,0.067,3.220
321,0.125,1.701
322,0.266,1.849
323,0.104,3.011
324,0.344,1.113
325,0.054,2.730
326,0.063,0.949
327,0.234,2.666
328,0.039,4.822
329,0.088,3.893
330,0.117,1.262
331,0.211,2.446
332,0.227,2.263
333,0.106,3.049
334,0.356,2.261
335,0.198,1.263
336,0.226,1.394
337,0.315,1.676
338,0.032,2.927
339,0.087,1.818
340,0.233,1.654
341,0.211,2.240
342,0.123,1.309
343,0.082,2.065
344,0.248,0.919
345,0.109,3.295
346,0.288,3.286
347,0.193,2.212
348,0.137,1.604
349,0.328,1.410
350,0.377,1.301
351,0.130,1.958
352,0.235,2.050
353,0.184,0.833
354,0.080,1.082
355,0.102,2.243
356,0.100,2.789
357,0.252,1.051
358,0.225,2.597
359,0.127,2.756
360,0.060,3.944
361,0.347,2.002
362,0.107,2.231
363,0.240,1.493
364,0.088,3.893
365,0.234,0.949
366,0.283,2.378
367,0.291,1.686
368,0.107,2.252
369,-0.005,1.923
370,0.137,1.213
371,0.347,1.311
372,0.146,1.504
373,0.131,1.716
374,0.109,3.391
375,0.197,3.167
376,0.189,3.709
